file ; preprocess ; preprocesstime ; abs ; abstime ; solver ; result ; solvetime
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjava1 ; 0:00.01  ; dataabs2c2 ; 0:00.15  ; 120sz3 ; timeout solver      ; 2:00.01 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjava1 ; 0:00.01  ; dataabs2c2acker ; 0:00.25  ; 120sz3 ; unsat      ; 0:00.95 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjava1 ; 0:00.01  ; noabs ; 0:00.00  ; 120sz3 ; unsat      ; 0:00.11 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjava2 ; 0:00.00  ; 120sdatabs ; 0:00.63  ; 120sz3 ; unsat      ; 0:00.13 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjava2 ; 0:00.00  ; 120sdatabsacker ; 0:00.82  ; 120sz3 ; unsat      ; 0:00.09 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjava2 ; 0:00.00  ; 30svaphor ; 0:00.00  ; 120sz3 ; unsat      ; 0:00.10 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjava2 ; 0:00.00  ; dataabs2 ; 0:00.06  ; 120sz3 ; unsat      ; 0:00.11 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjava2 ; 0:00.00  ; dataabs2acker ; 0:00.04  ; 120sz3 ; unsat      ; 0:00.15 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjava2 ; 0:00.00  ; dataabs2c2 ; 0:00.14  ; 120sz3 ; timeout solver      ; 2:00.01 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjava2 ; 0:00.00  ; dataabs2c2acker ; 0:00.18  ; 120sz3 ; unsat      ; 0:00.95 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjava2 ; 0:00.00  ; noabs ; 0:00.00  ; 120sz3 ; unsat      ; 0:00.09 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjava ;  ; dataabs2c2acker ;  ; 120sz3 ;  ; 
