file ; preprocess ; preprocesstime ; abs ; abstime ; solver ; result ; solvetime
ModifiedSAS16exp/buggy/esop2010_array_reverse_buggy ; 10scvjavaoldhinted1 ; 0:00.01  ; 120sdatabsacker ; 0:01.45  ; 30sz3 ; unsat      ; 0:00.08 
ModifiedSAS16exp/buggy/esop2010_array_reverse_buggy ; 10scvjavaoldhinted1 ; 0:00.01  ; 30svaphor ; 0:00.01  ; 30sz3 ; unsat      ; 0:00.09 
ModifiedSAS16exp/buggy/esop2010_array_reverse_buggy ; 10scvjavaoldhinted1 ; 0:00.01  ; noabs ; 0:00.03  ; 30sz3 ; unsat      ; 0:00.09 
ModifiedSAS16exp/buggy/esop2010_array_reverse_buggy ; 10scvjavaoldhinted2 ; 0:00.01  ; 120sdatabs ; 0:01.20  ; 30sz3 ; unsat      ; 0:00.09 
ModifiedSAS16exp/buggy/esop2010_array_reverse_buggy ; 10scvjavaoldhinted2 ; 0:00.01  ; 120sdatabsacker ; 0:01.50  ; 30sz3 ; unsat      ; 0:00.08 
ModifiedSAS16exp/buggy/esop2010_array_reverse_buggy ; 10scvjavaoldhinted2 ; 0:00.01  ; 30svaphor ; 0:00.01  ; 30sz3 ; unsat      ; 0:00.09 
ModifiedSAS16exp/buggy/esop2010_array_reverse_buggy ; 10scvjavaoldhinted2 ; 0:00.01  ; noabs ; 0:00.00  ; 30sz3 ; unsat      ; 0:00.07 
ModifiedSAS16exp/buggy/esop2010_mergeinterleave_buggy ; 10scvjava ; 0:00.00  ; 120sdatabs ; 0:06.26  ; 30sz3 ; unsat      ; 0:00.14 
ModifiedSAS16exp/buggy/esop2010_mergeinterleave_buggy ; 10scvjava ; 0:00.00  ; 120sdatabsacker ; 0:06.60  ; 30sz3 ; unsat      ; 0:00.16 
ModifiedSAS16exp/buggy/esop2010_mergeinterleave_buggy ; 10scvjava ; 0:00.00  ; 30svaphor ; 0:00.01  ; 30sz3 ; unsat      ; 0:00.21 
ModifiedSAS16exp/buggy/esop2010_mergeinterleave_buggy ; 10scvjava ; 0:00.00  ; noabs ; 0:00.01  ; 30sz3 ; unsat      ; 0:00.15 
ModifiedSAS16exp/buggy/esop2010_mergeinterleave_buggy ; 10scvjavahinted ; 0:00.01  ; 120sdatabs ; 0:06.76  ; 30sz3 ; unsat      ; 0:00.11 
ModifiedSAS16exp/buggy/esop2010_mergeinterleave_buggy ; 10scvjavahinted ; 0:00.01  ; 120sdatabsacker ; 0:07.06  ; 30sz3 ; unsat      ; 0:00.10 
ModifiedSAS16exp/buggy/esop2010_mergeinterleave_buggy ; 10scvjavahinted ; 0:00.01  ; 30svaphor ; 0:00.00  ; 30sz3 ; unsat      ; 0:00.20 
ModifiedSAS16exp/buggy/esop2010_mergeinterleave_buggy ; 10scvjavahinted ; 0:00.01  ; noabs ; 0:00.00  ; 30sz3 ; unsat      ; 0:00.13 
ModifiedSAS16exp/buggy/esop2010_mergeinterleave_buggy ; 10scvjavahinted1 ; 0:00.00  ; 120sdatabs ; 0:06.57  ; 30sz3 ; unsat      ; 0:00.35 
ModifiedSAS16exp/buggy/esop2010_mergeinterleave_buggy ; 10scvjavahinted1 ; 0:00.00  ; 120sdatabsacker ; 0:06.95  ; 30sz3 ; unsat      ; 0:00.18 
ModifiedSAS16exp/buggy/esop2010_mergeinterleave_buggy ; 10scvjavahinted1 ; 0:00.00  ; 30svaphor ; 0:00.01  ; 30sz3 ; unsat      ; 0:00.22 
ModifiedSAS16exp/buggy/esop2010_mergeinterleave_buggy ; 10scvjavahinted1 ; 0:00.00  ; noabs ; 0:00.01  ; 30sz3 ; unsat      ; 0:00.16 
ModifiedSAS16exp/buggy/esop2010_mergeinterleave_buggy ; 10scvjavahinted2 ; 0:00.00  ; 120sdatabs ; 0:07.17  ; 30sz3 ; unsat      ; 0:00.23 
ModifiedSAS16exp/buggy/esop2010_mergeinterleave_buggy ; 10scvjavahinted2 ; 0:00.00  ; 120sdatabsacker ; 0:06.76  ; 30sz3 ; unsat      ; 0:00.14 
ModifiedSAS16exp/buggy/esop2010_mergeinterleave_buggy ; 10scvjavahinted2 ; 0:00.00  ; 30svaphor ; 0:00.01  ; 30sz3 ; unsat      ; 0:00.31 
ModifiedSAS16exp/buggy/esop2010_mergeinterleave_buggy ; 10scvjavahinted2 ; 0:00.00  ; noabs ; 0:00.01  ; 30sz3 ; unsat      ; 0:00.15 
ModifiedSAS16exp/buggy/esop2010_mergeinterleave_buggy ; 10scvjavaoldhinted ; 0:00.02  ; 120sdatabs ; 0:06.46  ; 30sz3 ; unsat      ; 0:00.22 
ModifiedSAS16exp/buggy/esop2010_mergeinterleave_buggy ; 10scvjavaoldhinted ; 0:00.02  ; 120sdatabsacker ; 0:06.78  ; 30sz3 ; unsat      ; 0:00.18 
ModifiedSAS16exp/buggy/esop2010_mergeinterleave_buggy ; 10scvjavaoldhinted ; 0:00.02  ; 30svaphor ; 0:00.01  ; 30sz3 ; unsat      ; 0:00.23 
ModifiedSAS16exp/buggy/esop2010_mergeinterleave_buggy ; 10scvjavaoldhinted ; 0:00.02  ; noabs ; 0:00.00  ; 30sz3 ; unsat      ; 0:00.13 
ModifiedSAS16exp/buggy/esop2010_mergeinterleave_buggy ; 10scvjavaoldhinted1 ; 0:00.02  ; 120sdatabs ; 0:06.19  ; 30sz3 ; unsat      ; 0:00.20 
ModifiedSAS16exp/buggy/esop2010_mergeinterleave_buggy ; 10scvjavaoldhinted1 ; 0:00.02  ; 120sdatabsacker ; 0:06.50  ; 30sz3 ; unsat      ; 0:00.22 
ModifiedSAS16exp/buggy/esop2010_mergeinterleave_buggy ; 10scvjavaoldhinted1 ; 0:00.02  ; 30svaphor ; 0:00.01  ; 30sz3 ; unsat      ; 0:00.22 
ModifiedSAS16exp/buggy/esop2010_mergeinterleave_buggy ; 10scvjavaoldhinted1 ; 0:00.02  ; noabs ; 0:00.01  ; 30sz3 ; unsat      ; 0:00.16 
ModifiedSAS16exp/buggy/esop2010_mergeinterleave_buggy ; 10scvjavaoldhinted2 ; 0:00.02  ; 120sdatabs ; 0:07.28  ; 30sz3 ; unsat      ; 0:00.22 
ModifiedSAS16exp/buggy/esop2010_mergeinterleave_buggy ; 10scvjavaoldhinted2 ; 0:00.02  ; 120sdatabsacker ; 0:06.97  ; 30sz3 ; unsat      ; 0:00.18 
ModifiedSAS16exp/buggy/esop2010_mergeinterleave_buggy ; 10scvjavaoldhinted2 ; 0:00.02  ; 30svaphor ; 0:00.01  ; 30sz3 ; unsat      ; 0:00.20 
ModifiedSAS16exp/buggy/esop2010_mergeinterleave_buggy ; 10scvjavaoldhinted2 ; 0:00.02  ; noabs ; 0:00.00  ; 30sz3 ; unsat      ; 0:00.16 
ModifiedSAS16exp/Correct/esop2010_arrayappend ; 10scvjava ; 0:00.00  ; 120sdatabs ; 0:01.21  ; 30sz3 ; timeout solver      ; 0:30.01 
ModifiedSAS16exp/Correct/esop2010_arrayappend ; 10scvjava ; 0:00.00  ; 120sdatabsacker ; 0:01.27  ; 30sz3 ; timeout solver      ; 0:30.01 
ModifiedSAS16exp/Correct/esop2010_arrayappend ; 10scvjava ; 0:00.00  ; 30svaphor ; 0:00.01  ; 30sz3 ; sat      ; 0:01.22 
ModifiedSAS16exp/Correct/esop2010_arrayappend ; 10scvjava ; 0:00.00  ; noabs ; 0:00.00  ; 30sz3 ; timeout solver      ; 0:30.02 
ModifiedSAS16exp/Correct/esop2010_arrayappend ; 10scvjavahinted ; 0:00.00  ; 120sdatabs ; 0:01.76  ; 30sz3 ; timeout solver      ; 0:30.02 
ModifiedSAS16exp/Correct/esop2010_arrayappend ; 10scvjavahinted ; 0:00.00  ; 120sdatabsacker ; 0:02.09  ; 30sz3 ; timeout solver      ; 0:30.03 
